Cavaughn Browne
Many Points Distance Progam

     Point           Point            Distance
         0,10               4,5                6.40

         4,5               5,10                5.10

         5,10              10,50               40.31

        10,50              20,30               22.36

        20,30              20,70               40.00

        20,70              30,40               31.62

        30,40              30,45                5.00

        30,45              30,65               20.00

        30,65              40,60               11.18

        40,60              40,70               10.00

        40,70              50,80               14.14

        50,80              50,50               30.00

        50,50              60,70               22.36

        60,70              60,90               20.00

        60,90              75,75               21.21

        75,75              80,30               45.28

        80,30              85,75               45.28

        85,75             100,50               29.15

       100,50             100,100               50.00

       100,100               0,10              134.54

Total distance is 603.94
